en,ar,source
Composition & Excipients,التركيب والسواغات,ABESTOL
Composition,التركيب,ABESTOL
Excipients,السواغات,pricksage_gemini
Clinical Pharmacology,الصيدلة السريرية,ABESTOL
Indications,الاستطبابات,ABESTOL
Contraindications,مضادات الاستطبابات,pricksage_gemini
Dosage And Administration,الجرعة وطريقة الاستعمال,ABESTOL
Dosage,الجرعة,ABESTOL
Side Effects,الآثار الجانبية,ABESTOL
Warnings,التحذيرات,ABESTOL
Precautions,الاحتياطات,ABESTOL
Drug Interactions,التداخلات الدوائية,ABESTOL
Interactions,التداخلات,ABESTOL
Storage,التخزين,ABESTOL
Packaging,التعبئة,ABESTOL
Renal Impairment,الاعتلال الكلوي,ABESTOL
tablets,أقراص,ABESTOL
each tablet contains,يحتوي كل قرص على,ABESTOL
once daily,مرة واحدة يومياً,ABESTOL
store at room temperature,يحفظ في درجة حرارة الغرفة,ABESTOL
hypersensitivity,فرط التحسس,ABESTOL
allergic reaction,رد فعل تحسسي,ABESTOL
nausea,غثيان,ABESTOL
vomiting,إقياء,ABESTOL
diarrhea,إسهال,ABESTOL
constipation,إمساك,ABESTOL
dizziness,دوار,ABESTOL
headache,صداع,ABESTOL
fatigue,تعب,ABESTOL
dry mouth,جفاف الفم,ABESTOL
rash,طفح جلدي,ABESTOL
swelling,وذمة,ABESTOL
hypotension,انخفاض ضغط الدم,ABESTOL
hypertension,ارتفاع ضغط الدم,ABESTOL
tachycardia,تسارع نبض القلب,ABESTOL
bradycardia,بطء نبض القلب,ABESTOL
renal function,وظائف الكلى,ABESTOL
pregnancy,الحمل,ABESTOL
half-life,عمر النصف,ABESTOL
absorption,الامتصاص,ABESTOL
contraindicated,مضاد استطباب,ABESTOL
indicated,مستطب,ABESTOL
maintenance dose,الجرعة الصيانة,ABESTOL
overdose,فرط الجرعة,ABESTOL
safety,السلامة,ABESTOL
concomitant use,الاستعمال المتزامن,ABESTOL
Composition & Excipients,التركيب,ABESTOL
Contraindications,مضادات,ABESTOL
Dosage and Administration,الجرعة,ABESTOL
Side Effects,الآثار,ABESTOL
Overdosage,فرط,ABESTOL
Mechanism of action,آلية التأثير,pricksage_gemini
Overdosage,فرط الجرعة,AGILOMOX
Hepatic Impairment,الاعتلال الكبدي,AGILOMOX
Undesirable Effects,الآثار غير المرغوبة,AGILOMOX
keep out of reach of children,يحفظ بعيداً عن متناول الأطفال,AGILOMOX
drowsiness,نعاس,AGILOMOX
abdominal pain,ألم بطني,AGILOMOX
itching,حكة,AGILOMOX
